epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3661,1.68217,2.89855,1.46778,0.70674,0.04628,0.19907,0.1297,1.23487,3.11625,1.18665,0.000469982,0.000469982,0.000469982
2,15.7084,1.37639,1.70551,1.16959,0.80768,0.4177,0.48072,0.31188,1.21459,1.66757,1.13209,0.000936947,0.000936947,0.000936947
3,20.9927,1.31884,1.44702,1.14267,0.83991,0.45607,0.4781,0.3004,1.23456,1.42138,1.17998,0.00139448,0.00139448,0.00139448
4,26.1315,1.25805,1.31583,1.10875,0.92238,0.43955,0.56201,0.34652,1.15784,1.20539,1.12621,0.00138656,0.00138656,0.00138656
5,31.2864,1.26247,1.19043,1.10332,0.69051,0.60302,0.64294,0.40374,1.1349,1.02934,1.10528,0.00137241,0.00137241,0.00137241
6,36.5113,1.2348,1.14327,1.10742,0.63026,0.70031,0.64912,0.39803,1.15456,1.00325,1.11757,0.00135826,0.00135826,0.00135826
7,41.6967,1.19718,1.03523,1.0903,0.61722,0.58946,0.64893,0.39531,1.20503,1.02613,1.13652,0.00134412,0.00134412,0.00134412
8,46.7965,1.21695,0.9996,1.07963,0.74863,0.56702,0.65374,0.41799,1.14258,0.97373,1.08251,0.00132997,0.00132997,0.00132997
9,51.9245,1.17322,0.91892,1.07368,0.84049,0.64548,0.7488,0.49515,1.07749,0.82556,1.06999,0.00131582,0.00131582,0.00131582
10,57.1827,1.15482,0.86181,1.05507,0.8253,0.62787,0.7189,0.48285,1.09856,0.81221,1.09032,0.00130168,0.00130168,0.00130168
11,62.4644,1.13887,0.8427,1.05625,0.89467,0.67372,0.76879,0.494,1.0814,0.8132,1.08199,0.00128753,0.00128753,0.00128753
12,67.6261,1.14048,0.81795,1.05085,0.83591,0.69345,0.75842,0.48885,1.07942,0.79381,1.06478,0.00127338,0.00127338,0.00127338
13,72.8139,1.14473,0.79028,1.0496,0.83806,0.67053,0.74776,0.47087,1.13093,0.78719,1.09848,0.00125923,0.00125923,0.00125923
14,78.0168,1.12129,0.78454,1.0451,0.91653,0.65299,0.77715,0.49493,1.06426,0.74761,1.05882,0.00124509,0.00124509,0.00124509
15,83.1706,1.12236,0.75311,1.03561,0.7222,0.70795,0.75982,0.49353,1.09428,0.73358,1.07937,0.00123094,0.00123094,0.00123094
16,88.3224,1.12902,0.76136,1.04546,0.89109,0.70693,0.7892,0.49252,1.13744,0.7558,1.09015,0.00121679,0.00121679,0.00121679
17,93.4988,1.1246,0.733,1.02881,0.86748,0.70522,0.7814,0.51272,1.08574,0.69541,1.06437,0.00120265,0.00120265,0.00120265
18,98.6639,1.10624,0.72718,1.02292,0.8557,0.72901,0.81099,0.54678,1.05407,0.68971,1.0631,0.0011885,0.0011885,0.0011885
19,103.854,1.09085,0.71303,1.02694,0.88908,0.74203,0.82511,0.53913,1.06753,0.68089,1.06074,0.00117435,0.00117435,0.00117435
20,108.918,1.08137,0.69654,1.03053,0.90041,0.71664,0.83451,0.5336,1.11048,0.67341,1.08235,0.00116021,0.00116021,0.00116021
21,114.114,1.10694,0.6922,1.02624,0.85002,0.70248,0.78082,0.49734,1.06468,0.71083,1.0584,0.00114606,0.00114606,0.00114606
22,119.149,1.10139,0.68527,1.0263,0.85066,0.74297,0.82511,0.54036,1.05143,0.64518,1.04552,0.00113191,0.00113191,0.00113191
23,124.41,1.08399,0.67044,1.03261,0.8545,0.7571,0.82607,0.52759,1.06113,0.66291,1.05824,0.00111776,0.00111776,0.00111776
24,129.603,1.073,0.65806,1.0164,0.85793,0.71486,0.80953,0.5302,1.04022,0.65527,1.04511,0.00110362,0.00110362,0.00110362
25,134.836,1.05923,0.6587,1.0125,0.88711,0.75488,0.84395,0.54504,1.05059,0.62877,1.05499,0.00108947,0.00108947,0.00108947
26,140.033,1.06972,0.64577,1.00311,0.87082,0.73088,0.8585,0.58614,1.02257,0.63317,1.03307,0.00107532,0.00107532,0.00107532
27,145.315,1.04726,0.62095,0.99881,0.9237,0.69962,0.82951,0.54089,1.02353,0.63597,1.04041,0.00106118,0.00106118,0.00106118
28,150.402,1.06131,0.63748,1.00076,0.80983,0.71907,0.81024,0.54102,1.07309,0.65757,1.07014,0.00104703,0.00104703,0.00104703
29,155.556,1.0421,0.61703,0.99924,0.82799,0.78044,0.8445,0.54804,1.03984,0.62053,1.05291,0.00103288,0.00103288,0.00103288
30,160.689,1.0605,0.61551,1.00863,0.904,0.8044,0.87323,0.58394,1.04272,0.6197,1.04306,0.00101873,0.00101873,0.00101873
31,165.871,1.0376,0.60192,0.99833,0.86987,0.76279,0.86347,0.57774,1.03823,0.58071,1.04782,0.00100459,0.00100459,0.00100459
32,171.061,1.02068,0.5887,0.99833,0.8771,0.78247,0.84787,0.54343,1.05895,0.62797,1.05885,0.00099044,0.00099044,0.00099044
33,176.249,1.02424,0.5848,0.98668,0.88025,0.77418,0.86117,0.55786,1.05656,0.59512,1.0481,0.000976293,0.000976293,0.000976293
34,181.388,1.03183,0.58812,0.99491,0.83644,0.78562,0.82947,0.55449,1.00916,0.62508,1.02489,0.000962146,0.000962146,0.000962146
35,186.636,1.01985,0.59187,0.98557,0.90958,0.76346,0.86529,0.5562,1.03096,0.58927,1.04179,0.000947999,0.000947999,0.000947999
36,191.788,1.00954,0.58655,0.99732,0.93143,0.70702,0.83576,0.5533,1.05122,0.62435,1.04672,0.000933851,0.000933851,0.000933851
37,196.965,1.00542,0.57473,0.989,0.87877,0.75066,0.8325,0.5477,1.07141,0.59866,1.05161,0.000919704,0.000919704,0.000919704
38,202.147,1.01068,0.56375,0.97363,0.91197,0.68755,0.80128,0.52474,1.0498,0.58736,1.04084,0.000905557,0.000905557,0.000905557
39,207.256,1.0033,0.56164,0.98442,0.78458,0.7811,0.82861,0.55013,1.0278,0.57831,1.03483,0.00089141,0.00089141,0.00089141
40,212.295,1.00306,0.55702,0.96965,0.94438,0.7123,0.84668,0.56088,1.00995,0.56216,1.02822,0.000877263,0.000877263,0.000877263
41,217.453,0.98246,0.54468,0.96892,0.86431,0.76211,0.82231,0.54462,0.99912,0.58191,1.02005,0.000863116,0.000863116,0.000863116
42,222.646,0.97989,0.54401,0.96199,0.94575,0.73133,0.86095,0.55866,1.01253,0.55361,1.02451,0.000848969,0.000848969,0.000848969
43,227.825,0.98609,0.53673,0.97136,0.80884,0.809,0.83473,0.55214,1.03297,0.57273,1.04653,0.000834822,0.000834822,0.000834822
44,232.998,0.97583,0.54053,0.97207,0.79205,0.78468,0.83641,0.56012,1.01594,0.58478,1.03742,0.000820675,0.000820675,0.000820675
45,238.172,0.97866,0.54427,0.96451,0.84362,0.78948,0.8432,0.55581,1.02698,0.58326,1.03473,0.000806528,0.000806528,0.000806528
46,243.496,0.96228,0.53003,0.96199,0.82931,0.82431,0.85463,0.55893,1.02621,0.55845,1.028,0.00079238,0.00079238,0.00079238
